Comment,Designator,Footprint,JLCPCB Part #,QTY,Order From Digikey?
,"D12IN, DOV3, DOV4",SMADIODE,C110531,3,
,DBOOT1,SMADIODE,C110531,1,
,"L_12V, L_VBAT",CHIPLED_1206,C434439,2,
9774060151,"MS1, MS2, MS3",WA-SMSI_9774060151,DNP,3,
10k,"RGS5, RGS6, RLD1",R1206,C140407,3,
10k 3950k,NTC1,R0805,C95968,1,
1M,"RGS7, RGS8",R1206,C105578,2,
1k,RLD3,R1206,C115421,1,
22uF,"C5, C6",C1206,C77091,2,
2X6 FEMALE,"J_-VLOAD, J_BATT/GND",2X6,DNP,2,
3.3uF,CBOOT1,C1812,C342636,1,
"3.3uF, 100V","CHV1, CHV2, CVH3, CVH4",C2220K,C342270,4,
8,"RG5, RG6, RG7, RG8",R1206,C118070,4,
ELECTRIC_SHOCK,"U$10, U$11",ELECTRIC_SHOCK,DNP,2,
IPB60R060P7ATMA1,"QA_H5, QA_H6, QA_L5, QA_L6",D2PACK,DNP,4,
NCP5181,DRVR_X,8-SOIC,DNP,1,
"NZH15B,115","DZ15V1, DZ15V2, DZ15V3, DZ15V4",SODFL3718X115,C173428,4,
"NZH15B,115","DZ24V1, DZ24V2, DZ24V3, DZ24V4, DZ24V9, DZ24V10, DZ24V11, DZ24V12, DZ24V17, DZ24V18, DZ24V19, DZ24V22, DZ24V23, DZ24V24",SODFL3718X115,C266572,14,
THM_TESTPOINT_5000_SERIES,"TP-GND1, TP-GND2, TP-OUTAH, TP-OUTAL",THM-TESTPOINT,DNP,4,